years,player_dm,emotional,social,friends,irl
3,1,3,3,2,3
1,4,3,4,5,4
1,4,3,3,4,4
10,2,4,5,5,3
1,4,3,3,3,2
1,2,2,4,3,4
6,4,5,5,5,5
1,1,3,3,3,4
10,2,3,5,4,4
2,3,1,1,3,1
2,2,2,4,3,4
2,4,2,4,4,4
2,3,4,4,3,5
4,4,3,5,2,4
3,2,2,3,4,4
4 ,3,3,4,4,5
1,3,4,5,5,4
2,2,2,5,4,3
3,3,4,5,5,5
1,3,2,4,3,4
2,3,2,4,4,4
1,2,2,4,3,4
2.5,5,3,4,4,4
4,2,3,4,3,4
8,1,3,4,5,4
12,2,1,1,1,3
10,3,4,5,4,5
16,4,4,5,5,5
3,2,1,4,2,3
3,2,3,3,3,2
4,3,1,2,2,3
1,2,5,5,5,5
2,3,2,5,4,4
18,5,4,5,3,5
2,5,3,4,4,5
1,1,3,4,4,4
2,2,4,5,4,5
11,2,3,4,4,4
3,4,4,4,4,5
3,4,2,4,4,5
2,3,4,4,4,4
5,3,1,4,3,4
1,1,4,5,4,5
3,1,3,4,3,3
3,2,5,5,5,4
20,1,3,4,4,4
7,2,4,5,5,5
1,1,3,3,3,3
0.4,5,3,4,3,3
1,3,1,3,2,2
1,2,4,4,4,4
3,3,4,4,3,4
1,4,4,5,4,4
2,3,4,4,3,4
10,1,2,3,4,4
5,4,4,4,2,3
1.5,3,3,4,3,4
20,5,3,4,2,4
6,2,4,4,3,4
3,4,2,4,4,4
11,4,1,5,3,5
6,4,4,5,4,5
3,3,4,4,3,4
3,3,4,2,1,5
3,2,2,2,2,3
1,3,2,4,2,4
3,4,3,4,4,4
3,4,1,1,1,1
7,2,5,5,4,5
5,4,3,5,4,5
3,3,2,2,2,3
8,3,3,5,4,4
7,4,3,4,3,4
9,5,5,5,5,5
4,2,3,5,4,5
2.5,2,3,3,3,4
3,3,2,3,2,4
32,3,4,4,4,4
3,3,3,4,4,4
5,4,3,3,3,3
15,4,3,4,4,5
15,4,2,3,3,4
30,3,2,3,3,2
3,1,2,4,2,4
3,3,3,2,4,2
1,1,3,3,3,4
15,4,1,3,4,4
10,4,2,4,4,4
2,2,4,4,4,5
1,3,3,5,5,5
29,2,4,4,3,5
6,2,2,4,3,3
1,1,4,5,5,5
2,3,4,4,4,4
20,4,4,3,3,4
5,4,2,4,2,4
1,4,3,5,5,4
5,3,5,5,5,5
7,4,4,2,2,4
20,3,4,4,4,5
5,4,2,5,5,5
3,3,4,5,4,4
1,3,4,3,4,4
2,1,3,4,4,4
34,4,4,5,4,4
4,2,3,4,4,4
2,4,2,4,3,4
1,5,4,3,3,4
1.5,3,3,4,3,4
1,2,2,3,4,2
4,5,4,5,2,4
2,3,3,4,5,4
3,3,3,4,4,4
6,3,4,4,2,4
4,1,5,5,5,5
16,3,4,4,4,4
1,1,4,5,4,4
24,4,5,5,5,5
5,4,5,5,5,5
5,3,4,4,4,3
9,4,5,3,3,4
1,3,2,4,2,2
6,3,4,5,5,5
2,2,1,4,4,3
1,5,3,3,3,3
2,4,4,5,4,4
6,2,3,4,5,3
23,4,3,4,3,4
14,3,3,5,4,4
5,4,4,4,3,4
4,3,4,4,3,5
1,1,3,4,3,3
18,3,3,5,5,5
3,2,4,2,2,4
3,3,4,5,5,5
35,4,4,5,5,5
7,2,4,4,5,5
2,4,4,4,4,4
1,5,5,5,5,4
1,2,3,4,4,3
3,3,2,3,3,4
2,1,3,4,4,4
20,4,2,3,2,3
1,5,4,4,3,5
20,4,4,4,4,4
12,3,3,2,2,4
7,5,4,5,4,4
2,4,5,5,4,5
28,4,1,3,2,4
4,3,4,4,3,5
1,3,4,4,4,4
3,5,4,4,4,5
1,1,3,3,3,4
5,3,3,4,4,3
5,3,4,5,3,4
35,4,5,5,5,5
4,3,3,4,2,3
2,1,4,5,5,5
5 ,4,4,2,4,2
9,3,3,4,3,3
2,2,4,4,4,5
7,4,4,5,5,5
3,1,2,4,2,4
1,3,3,3,3,3
1 ,2,3,4,4,4
1,4,2,5,5,4
4,4,4,4,3,4
1,3,4,4,3,5
8,4,1,3,3,2
20,2,3,4,4,4
1,3,3,4,4,4
2,1,2,2,2,3
2,3,4,4,3,4
16,4,3,4,3,5
40,3,4,4,3,4
5,1,4,4,5,5
1,5,4,5,3,4
5,2,5,5,5,5
3,4,4,5,3,4
6,4,3,4,2,4
10,2,4,5,5,4
3,2,3,3,3,3
1,1,2,3,3,3
4,3,2,2,2,4
7,3,3,4,4,3
5,4,2,4,4,3
7,2,3,2,3,4
2,2,4,5,4,5
5,3,2,5,4,4
10,4,3,4,3,4
27,2,3,3,3,5
1,1,3,4,5,5
1,3,2,4,2,3
7,1,3,4,4,4
2.5,1,3,3,3,3
5,2,1,3,4,3
1,3,3,4,4,5
2,1,3,4,4,4
15,1,3,4,4,5
3,3,2,4,3,2
15,3,4,4,4,3
4,4,4,4,5,4
10,3,4,5,5,5
20,2,2,2,2,2
28,2,2,4,3,2
22,4,2,4,4,4
40 ,3,3,4,4,4
5,3,4,5,4,5
3,2,3,4,3,5
11,3,4,4,3,4
31,2,2,2,2,4
1,1,2,4,3,3
1,5,3,4,2,5
2,3,3,2,3,3
5,3,4,5,5,1
1,1,1,4,3,4
15,2,2,2,4,4
3,1,3,4,4,4
2,3,1,3,2,4
2,3,3,4,3,4
4,3,5,5,4,5
20,4,2,2,2,4
3,2,5,5,4,4
10,1,3,4,3,4
11,4,3,4,4,4
1,2,3,4,4,3
6,2,3,5,3,4
1,1,2,2,2,2
2,2,3,4,3,4
2,5,4,5,4,4
8,4,2,4,2,5
2,2,4,4,3,4
7,3,2,4,4,3
0,5,3,5,4,4
30,4,4,4,4,5
2,4,4,4,4,3
1,3,4,5,3,4
2,1,2,2,2,2
26,4,4,2,3,3
1,3,1,1,4,4
21,3,4,4,3,5
15,3,3,4,3,4
1,3,4,5,5,5
5,3,3,4,4,4
2,4,4,4,4,4
15,3,4,5,4,4
2,3,2,4,3,4
1,3,3,5,5,5
1,1,3,3,4,2
4,4,4,5,3,4
15,3,4,4,4,4
5,4,4,5,4,4
4,4,5,5,3,5
4,1,4,4,5,5
3,5,4,3,3,5
4,3,4,5,3,4
30,4,4,5,3,4
15,3,4,5,4,5
1,1,2,2,2,3
30,4,5,5,5,5
22,4,5,5,5,5
2,4,2,2,2,2
8,3,2,4,1,2
3,4,4,4,4,5
11,4,4,4,3,5
20,4,4,5,5,4
5,2,2,3,3,3
1,5,4,5,4,5
4,3,3,4,4,5
1,5,3,3,4,3
4,1,1,1,2,2
4,4,3,4,4,3
5,2,2,4,4,4
3,4,1,3,2,1
5,3,4,5,3,4
3,2,5,5,5,5
7,2,2,4,2,2
5,4,4,4,4,5
10,1,4,4,4,5
15,2,3,4,3,3
2,2,3,4,4,4
4,1,4,5,3,5
5,2,3,3,4,4
2,3,3,4,2,4
18,4,4,5,4,5
1,1,4,3,2,4
7,4,3,5,4,4
2,4,4,4,4,4
1,2,3,4,4,5
4,4,4,2,4,3
20,2,4,2,4,5
1,3,2,4,4,3
39,4,1,1,1,1
4,4,2,4,3,4
36,2,4,5,3,4
7,3,4,4,5,3
1,3,3,4,4,4
1,4,3,4,3,4
2,3,2,4,1,3
3,1,4,5,3,4
10,4,3,4,4,4
4,2,2,5,4,4
1.5,2,2,2,2,2
5,2,3,3,3,3
1,3,4,3,3,4
5,2,3,4,3,4
1,2,4,4,4,3
1,2,4,5,5,5
3,3,4,4,4,5
1,4,4,3,2,2
3,3,5,4,4,5
1,1,3,3,3,3
1,3,2,4,3,3
16,3,4,5,3,4
3,2,4,4,4,4
1,1,4,4,3,5
19,3,4,4,2,5
2,2,1,1,1,1
5,1,2,4,3,3
10,4,4,4,3,4
8,3,3,3,4,4
2,4,3,4,4,3
6,2,2,4,4,5
1,5,5,5,5,5
6,3,2,2,3,2
4,3,2,4,5,5
3,3,4,5,3,4
8,4,4,5,4,5
25,5,4,5,4,5
3,1,2,4,4,3
7,3,4,5,3,4
2,4,4,4,5,3
2,2,2,4,3,5
20,4,3,4,4,4
16,4,3,4,3,5
2,5,5,5,5,5
1,3,3,4,3,3
1,3,1,4,3,4
4,4,4,5,4,5
13,3,2,5,5,5
6,3,3,4,4,3
5,3,3,4,4,4
2,3,2,2,2,5
6,3,3,5,4,4
3,1,4,3,3,4
