"Timestamp","For how many years have you been playing tabletop role-playing games (TTRPG's)?","Where do you fall on the DM-player scale?","I have learned emotional skills (f.e. dealing with grief, gender issues, dealing with emotions, etc.) from playing TTRPG's.","I have learned social skills (f.e. making friends, public speaking, theatre, etc.) from playing TTRPG's.","I have become better at getting friends through playing TTRPG's.","I feel TTRPG's have helped me in real life.","What, if anything, have you gained/learned by playing role playing games?"
"2019/06/20 1:41:13 PM GMT+2","1","Mostly Player","Agree","Neutral","Strongly agree","Strongly agree","Different ways of story telling"
"2019/06/20 1:46:15 PM GMT+2","3","Only Player","Agree","Strongly agree","Neutral","Neutral","Getting a girlfriend"
"2019/06/20 1:48:25 PM GMT+2","4","Mostly DM","Neutral","Strongly disagree","Neutral","Agree",""
"2019/06/20 1:48:32 PM GMT+2","15","Mostly Player","Strongly agree","Strongly agree","Strongly agree","Strongly agree",""
"2019/06/20 1:56:53 PM GMT+2","9","Mostly DM","Disagree","Strongly agree","Agree","Agree",""
"2019/06/20 1:57:26 PM GMT+2","15","Mostly DM","Strongly disagree","Agree","Strongly disagree","Disagree",""
"2019/06/20 1:57:44 PM GMT+2","6","Mostly DM","Neutral","Neutral","Agree","Neutral",""
"2019/06/20 1:57:58 PM GMT+2","5","Player & DM","Agree","Strongly agree","Strongly agree","Agree","Role playing games have helped me become more social and connect better with others by understanding individuals, their personal struggles, and how they deal with them."
"2019/06/20 2:02:58 PM GMT+2","1","Only Player","Neutral","Agree","Neutral","Neutral","Basic mental math"
"2019/06/20 2:11:33 PM GMT+2","7","Mostly DM","Agree","Agree","Agree","Agree","Teamwork makes the dream work"
"2019/06/20 2:17:33 PM GMT+2","3","Mostly DM","Neutral","Agree","Neutral","Agree","I began playing D&D as an adult, so I had already learnt many of the social skills and behaviours that you are alluding to, but I have learned to manage social situations to reflect the desired outcomes shared by many in a collaborative game. As a GM, organising and playing D&D has been a constant reminder to me to be aware of others and to take responsibility for my actions.
As a relatively inexperienced GM I've learned that narratives can not be treated in the same way in different mediums. When I made a particular blunder of depriving my players of agency in a kobayashi maru type scenario I understod the frustrations of my players and sided with them by doubling my efforts to improve their experience of the game. As a player, I've learned to immediately deal with a conflict of interest by calmly explaining any issues and asking for empathy, even if other players do no concede to reasons unless they too have felt negatively affected.
On a more general note, organising D&D has drastically improved my time management and organisational skills."
"2019/06/20 2:19:03 PM GMT+2","2.5","Player & DM","Agree","Strongly agree","Agree","Strongly agree",""
"2019/06/20 2:23:03 PM GMT+2","1","Mostly Player","Agree","Agree","Neutral","Neutral",""
"2019/06/20 2:24:45 PM GMT+2","7","Only DM","Disagree","Neutral","Neutral","Agree",""
"2019/06/20 2:26:34 PM GMT+2","17","Player & DM","Neutral","Agree","Neutral","Strongly agree","First off, it did wonders for my mental math abilities. I can also say it help with making me more comfortable speaking to a group as well as gave me a unique mindset for problem solving.while I can't say it is a skill, it has also helped me be more creative when it comes to story telling and character design."
"2019/06/20 2:27:48 PM GMT+2","7","Mostly DM","Agree","Strongly agree","Neutral","Agree","Improvisation skills"
"2019/06/20 2:32:59 PM GMT+2","1","Only Player","Agree","Agree","Neutral","Neutral","RPG's are a cool and fun social experience based around a game."
"2019/06/20 2:33:18 PM GMT+2","12","Mostly DM","Neutral","Strongly agree","Strongly agree","Strongly agree","How to manage 6 bumbling idioys at a time"
"2019/06/20 2:37:21 PM GMT+2","38","Mostly DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I started running games at age 7. I have strong language skills, strong math skills, and a deep understanding of story structure. In school I knew more words than others, and when studies turned to mythology and medieval history, I found I had already learned those things. In science I found I was ahead because I had adjudicated fires and explosions, time and distance, weather effects, etc. Having first used multiplication, fractions, and calculation of averages in play, I ended up with a degree in mathematics. Most importantly, I am able to organize and lead groups of people, which every Dungeon Master must do if they are to run games.
"
"2019/06/20 2:40:19 PM GMT+2","20","Mostly DM","Agree","Strongly agree","Agree","Agree","Confidence"
"2019/06/20 2:41:34 PM GMT+2","20","Player & DM","Agree","Strongly agree","Agree","Agree",""
"2019/06/20 2:42:22 PM GMT+2","20","Mostly DM","Agree","Disagree","Neutral","Agree","creative outlet, and the opportunity to sneakily teach kids math and reading"
"2019/06/20 2:45:13 PM GMT+2","3","Mostly Player","Neutral","Neutral","Agree","Agree",""
"2019/06/20 2:53:46 PM GMT+2","1","Mostly Player","Neutral","Agree","Strongly agree","Agree",""
"2019/06/20 2:54:35 PM GMT+2","10","Mostly Player","Agree","Neutral","Disagree","Agree","More empathy by putting myself in another's shoes."
"2019/06/20 2:56:35 PM GMT+2","4","Player & DM","Agree","Neutral","Agree","Neutral",""
"2019/06/20 3:00:08 PM GMT+2","2","Only DM","Agree","Strongly agree","Strongly agree","Agree","Just a way to interact well with others and be more creative"
"2019/06/20 3:00:26 PM GMT+2","2","Player & DM","Neutral","Agree","Neutral","Neutral",""
"2019/06/20 3:05:33 PM GMT+2","3","Mostly Player","Agree","Agree","Agree","Agree",""
"2019/06/20 3:09:02 PM GMT+2","1","Player & DM","Neutral","Agree","Agree","Agree",""
"2019/06/20 3:10:15 PM GMT+2","5","Player & DM","Neutral","Neutral","Neutral","Agree","Leading people who don't want to be led. "
"2019/06/20 3:10:18 PM GMT+2","1","Mostly DM","Agree","Strongly agree","Agree","Agree",""
"2019/06/20 3:13:36 PM GMT+2","4","Mostly Player","Neutral","Strongly agree","Agree","Agree",""
"2019/06/20 3:18:13 PM GMT+2","5","Player & DM","Agree","Neutral","Agree","Agree","How to work on the fly"
