"Timestamp","For how many years have you been playing tabletop role-playing games (TTRPG's)?","Where do you fall on the DM-player scale?","I have learned emotional skills (f.e. dealing with grief, gender issues, dealing with emotions, etc.) from playing TTRPG's.","I have learned social skills (f.e. making friends, public speaking, theatre, etc.) from playing TTRPG's.","I have become better at getting friends through playing TTRPG's.","I feel TTRPG's have helped me in real life.","What, if anything, have you gained/learned by playing role playing games?"
"2019/06/19 7:11:25 PM GMT+2","1","Only DM","Agree","Strongly agree","Strongly agree","Agree","I have learned to manage groups of people and to be more forward about my emotions. Also, how to talk to other people about emotions."
"2019/06/19 7:14:10 PM GMT+2","4","Mostly Player","Strongly disagree","Strongly disagree","Strongly disagree","Agree",""
"2019/06/19 7:15:59 PM GMT+2","2","Mostly DM","Agree","Agree","Neutral","Agree","Creativity grows with practice"
"2019/06/19 7:16:55 PM GMT+2","4","Mostly Player","Neutral","Strongly agree","Agree","Agree",""
"2019/06/19 7:17:00 PM GMT+2","4","Mostly Player","Neutral","Agree","Neutral","Strongly agree",""
"2019/06/19 7:17:06 PM GMT+2","0","Only Player","Neutral","Agree","Agree","Neutral","Learning how to talk to others & express myself"
"2019/06/19 7:17:36 PM GMT+2","3","Mostly DM","Neutral","Strongly agree","Strongly agree","Strongly agree","It has helped me with my shyness and social anxiety a lot by making me speak in groups as a player at first. Now I DM a small group, a feat I thought impossible just a few years ago."
"2019/06/19 7:19:50 PM GMT+2","8","Mostly Player","Neutral","Agree","Agree","Agree","Never split the party. While true my serious answer would be creative problem-solving. I typically play a utility rogue. As I’m a handy-man of sorts IRL. It helps find a different approach to problem-solving. Plus getting a “sure why not” is always a nice day. Whether at work or in game. 
Next would be socializing. I can be an antagonistic person ,:3 not always intentionally, but I can rub people the wrong way. And it goes the same with a DnD party. Some get along some are here to just have fun. Others max-min so it’s a delicate balancing act finding where you fit with each other person and their play style. "
"2019/06/19 7:21:57 PM GMT+2","3","Only Player","Agree","Strongly agree","Strongly agree","Neutral","I learned how to look at something through someone else’s shoes it had helped me realise that I need some more order in how I plan out my life"
"2019/06/19 7:22:37 PM GMT+2","2","Player & DM","Agree","Agree","Agree","Strongly agree","Connection to a great community and a game system that lets you practice for real life "
"2019/06/19 7:22:38 PM GMT+2","4","Mostly Player","Neutral","Agree","Agree","Agree","I've just gained a fun hobby to do on weekends"
"2019/06/19 7:25:32 PM GMT+2","40","Player & DM","Neutral","Agree","Disagree","Agree","Critical thinking, creative outlet, problem solving, expanded understanding of human behavior and abstract thinking"
"2019/06/19 7:27:59 PM GMT+2","20","Mostly Player","Disagree","Disagree","Disagree","Neutral","Creativity"
"2019/06/19 7:28:03 PM GMT+2","20","Mostly Player","Disagree","Disagree","Disagree","Neutral","Creativity"
"2019/06/19 7:30:00 PM GMT+2","1","Only Player","Neutral","Agree","Agree","Neutral",""
"2019/06/19 7:35:19 PM GMT+2","32","Mostly DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Playing provides a lot of opportunities to practice various forms of interaction and performance skills, and as a DM you end up researching a huge number of extremely obscure facts."
"2019/06/19 7:35:47 PM GMT+2","3","Player & DM","Agree","Agree","Agree","Agree",""
"2019/06/19 7:39:06 PM GMT+2","20","Player & DM","Neutral","Agree","Agree","Agree",""
"2019/06/19 7:40:28 PM GMT+2","2","Only DM","Neutral","Agree","Neutral","Agree","Compassion to stick to a project and improvisation "
"2019/06/19 7:41:41 PM GMT+2","1","Only Player","Agree","Agree","Neutral","Agree","Be in the moment of things, if you stay in the back and think about things you will be left behind sometimes."
"2019/06/19 7:42:54 PM GMT+2","1","Only Player","Neutral","Agree","Agree","Agree","The true treasure is friendship"
"2019/06/19 7:45:12 PM GMT+2","1","Only DM","Agree","Agree","Neutral","Agree",""
"2019/06/19 7:45:15 PM GMT+2","28","Mostly DM","Agree","Agree","Agree","Strongly agree",""
"2019/06/19 7:47:19 PM GMT+2","2","Only Player","Neutral","Neutral","Neutral","Agree",""
"2019/06/19 7:53:31 PM GMT+2","8","Player & DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree",""
"2019/06/19 7:55:04 PM GMT+2","3","Mostly Player","Agree","Agree","Strongly agree","Strongly agree","I've gained a circle of good friends that will support me in tough times. We meet regularly, ask each other about everything, help each other out if someone has troubles. It's a small community where we share a common interest."
"2019/06/19 7:58:20 PM GMT+2","2","Only DM","Neutral","Agree","Agree","Agree","To embrace your own faults "
"2019/06/19 8:01:58 PM GMT+2","5","Mostly DM","Agree","Strongly agree","Agree","Strongly agree",""
"2019/06/19 8:02:01 PM GMT+2","3","Mostly DM","Neutral","Strongly agree","Strongly agree","Strongly agree","How to manage time (being a DM requires allotting yourself enough time to build dungeons and make characters that make sense)."
"2019/06/19 8:03:13 PM GMT+2","2","Player & DM","Agree","Agree","Neutral","Strongly agree","Every experience my character goes through, I go through. It gives you some life lessons without actually ""being there""."
"2019/06/19 8:03:22 PM GMT+2","18","Mostly DM","Agree","Neutral","Neutral","Strongly agree","A lot of skill in story telling"
"2019/06/19 8:04:09 PM GMT+2","12","Mostly Player","Agree","Agree","Neutral","Neutral","Tabletop RPGs have certainly helped me with taking the edge off of my social anxiety and through live streaming sessions, have even helped with my public speaking. I don't know for certain if it has helped me make any friends, as noted above, but my friendships are certainly stronger with the people I game with. "
"2019/06/19 8:05:50 PM GMT+2","7","Player & DM","Neutral","Agree","Neutral","Agree","Critical thinking, problem solving, improvisation, acting, mathematics, public speaking"
"2019/06/19 8:06:27 PM GMT+2","1","Mostly Player","Agree","Strongly agree","Neutral","Neutral",""
"2019/06/19 8:08:36 PM GMT+2","4","Player & DM","Neutral","Agree","Neutral","Agree","Whenever you weave a complicated web, the things that stand out to other people aren't always the things that stand out to yourself. People will surprise you. "
"2019/06/19 8:10:54 PM GMT+2","3","Mostly DM","Neutral","Agree","Agree","Agree",""
"2019/06/19 8:11:03 PM GMT+2","3","Player & DM","Agree","Strongly agree","Neutral","Agree","Confidence in my own actions"
"2019/06/19 8:14:39 PM GMT+2","5","Player & DM","Agree","Agree","Agree","Agree","Cooperation. You have your story to tell but you also have to support others in telling their own story. "
"2019/06/19 8:15:12 PM GMT+2","3","Player & DM","Neutral","Neutral","Disagree","Neutral",""
"2019/06/19 8:15:17 PM GMT+2","1","Only Player","Disagree","Disagree","Agree","Agree","Sense of adventure, closer friendship with people I play with."
"2019/06/19 8:15:40 PM GMT+2","3","Player & DM","Agree","Strongly agree","Strongly agree","Strongly agree","I've developed pretty good improv skills."
"2019/06/19 8:17:18 PM GMT+2","4","Player & DM","Strongly disagree","Neutral","Disagree","Disagree",""
"2019/06/19 8:18:26 PM GMT+2","14","Player & DM","Disagree","Neutral","Disagree","Agree","Refining my ability to multitask"
"2019/06/19 8:19:53 PM GMT+2","1","Only DM","Neutral","Agree","Agree","Neutral","I am now able to make small calculations in my head way faster, I learned public speaking, including describing objects and places and my english skills have grown a lot (I'm not a native speaker) and my vocabulary has expanded very much."
"2019/06/19 8:21:15 PM GMT+2","12","Player & DM","Agree","Agree","Neutral","Strongly agree","Improvisation, time management, improved reading comprehension and recall"
"2019/06/19 8:21:17 PM GMT+2","3","Mostly Player","Neutral","Agree","Agree","Agree","I play TTRPGs as a result of playing both videogames and doing theatre for 8 years. All the skills about improv or keeping cool (emotional skills) came from 2 fields, but weren't originated in TTRPGs. 
To be fair though, D&D has helped me from a story telling standpoint to understand how to craft a well paced story"
"2019/06/19 8:21:30 PM GMT+2","4","Mostly DM","Neutral","Neutral","Disagree","Agree","To deal with people that have conficting interests"
"2019/06/19 8:21:31 PM GMT+2","2","Only DM","Agree","Strongly agree","Neutral","Strongly agree","Quick math and planning"
"2019/06/19 8:21:38 PM GMT+2","10","Mostly DM","Neutral","Agree","Agree","Agree",""
"2019/06/19 8:22:18 PM GMT+2","2","Only Player","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Work/life balance"
"2019/06/19 8:23:29 PM GMT+2","1.5","Mostly Player","Neutral","Agree","Agree","Neutral","Fun"
"2019/06/19 8:23:37 PM GMT+2","1","Mostly Player","Agree","Strongly agree","Agree","Agree","I have learned a lot of team building and story building skills"
"2019/06/19 8:24:13 PM GMT+2","3","Player & DM","Neutral","Agree","Agree","Agree","Lots of things, ranging from big ones like empathy to stuff like silly accents and characterization. "
"2019/06/19 8:25:25 PM GMT+2","1","Mostly DM","Neutral","Agree","Neutral","Neutral",""
"2019/06/19 8:25:41 PM GMT+2","18","Player & DM","Agree","Agree","Neutral","Agree",""
"2019/06/19 8:27:17 PM GMT+2","3 ","Mostly DM","Disagree","Disagree","Disagree","Strongly agree","It’s just fun"
"2019/06/19 8:28:21 PM GMT+2","2","Mostly DM","Neutral","Agree","Neutral","Agree",""
"2019/06/19 8:28:40 PM GMT+2","6","Mostly DM","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","I've gained a hobby. TTRPGs have enhanced skills I learned elsewhere, but I would hardly say it's ""taught"" me anything. "
"2019/06/19 8:32:35 PM GMT+2","4","Mostly Player","Agree","Neutral","Neutral","Agree","These games are a great creative outlet and helped me learn how to express myself."
"2019/06/19 8:34:11 PM GMT+2","8","Mostly Player","Agree","Neutral","Strongly agree","Strongly agree","In addition to other minor gains, I learned through ttrpg's very early in life the ability to understand and support people going through changes concerning gender, sexuality, emotional states, etc. Which is a rare trait that some people never gain in their entire life. It helped me understand that like in ttrpg's, some people want to play something they are not in the immediate moment, something they would like to be. (real story, I had a trans friend that used ttrpg's to get a feel for their desired gender, and because of ttrpg's decided to go through with the change)"
"2019/06/19 8:34:34 PM GMT+2","2","Mostly Player","Strongly agree","Agree","Agree","Agree","It allowed me to fully express myself, and try out alternate personalities. It really helped me in coming out as both non-binary and bisexual. "
"2019/06/19 8:35:19 PM GMT+2","9","Mostly DM","Agree","Agree","Neutral","Strongly agree","D&D is a fun way to connect with friends and flex my creative writing muscles. It has helped me strengthen relationships, unwind during stressful periods, and improve my writing and improvisation skills."
"2019/06/19 8:36:35 PM GMT+2","17","Player & DM","Neutral","Agree","Agree","Agree","Creativity"
"2019/06/19 8:36:54 PM GMT+2","7","Player & DM","Neutral","Agree","Agree","Agree","I'm a teacher. I sometimes use mechanics from the game to help create interesting lessons and activities in regards to my mythology unit."
"2019/06/19 8:38:23 PM GMT+2","7","Mostly DM","Neutral","Agree","Neutral","Agree","There's always more than one way to solve a problem, and just cause it's not the way you thought, doesn't mean it's stupid"
"2019/06/19 8:40:28 PM GMT+2","1.5","Mostly DM","Disagree","Agree","Disagree","Agree","entertainment"
"2019/06/19 8:41:03 PM GMT+2","6","Player & DM","Neutral","Agree","Agree","Neutral",""
"2019/06/19 8:41:45 PM GMT+2","1","Mostly Player","Agree","Strongly agree","Agree","Neutral","Nothing ever goes as planned"
"2019/06/19 8:43:11 PM GMT+2","3","Player & DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree",""
"2019/06/19 8:43:47 PM GMT+2","3","Player & DM","Agree","Strongly agree","Strongly agree","Strongly agree","Creativity "
"2019/06/19 8:45:14 PM GMT+2","1","Mostly Player","Agree","Strongly agree","Agree","Agree",""
"2019/06/19 8:45:21 PM GMT+2","3","Mostly DM","Agree","Agree","Disagree","Disagree","To listen better, learn to say yes more and be open to other people's ideas. "
"2019/06/19 8:45:31 PM GMT+2","12","Mostly DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Social problem solving, group management, and narrative verisimilitude."
"2019/06/19 8:47:48 PM GMT+2","2 ","Mostly DM","Disagree","Agree","Strongly agree","Agree","I've learned that people are generally looking for an excuse to hang out. It can feel overwhelming as an adult to make time for friends and organize a meeting. Which makes it so you dont want to bother yoyrself or others unless its ""worth it"" but hanging with your friends is worth it always. "
"2019/06/19 8:48:04 PM GMT+2","22","Mostly DM","Agree","Agree","Agree","Strongly agree",""
"2019/06/19 8:49:47 PM GMT+2","5","Only Player","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","I'm better at making characters now"
"2019/06/19 8:52:10 PM GMT+2","1","Only Player","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Fun "
"2019/06/19 8:53:05 PM GMT+2","37","Player & DM","Agree","Strongly agree","Neutral","Agree",""
"2019/06/19 8:54:12 PM GMT+2","21","Player & DM","Agree","Agree","Agree","Agree","Critical thinking / working puzzles"
"2019/06/19 8:54:23 PM GMT+2","6","Mostly DM","Disagree","Strongly agree","Agree","Strongly agree","The ability to channel my creativity in a productive way"
"2019/06/19 8:54:35 PM GMT+2","1","Mostly DM","Neutral","Neutral","Neutral","Neutral",""
"2019/06/19 8:56:27 PM GMT+2","1","Only Player","Disagree","Neutral","Neutral","Disagree",""
"2019/06/19 8:59:43 PM GMT+2","16","Mostly DM","Agree","Strongly agree","Agree","Agree","It has flowed easily into my career as project manager. Part of the reason I enjoy DMing is the fact that I have grown the skills to schedule and manage everyone's schedules, along with learning to how motivate and tailor experiences to different types of people. "
"2019/06/19 8:59:47 PM GMT+2","5","Player & DM","Agree","Agree","Strongly agree","Strongly agree","Confidence in myself as a storyteller and as a person."
"2019/06/19 9:00:05 PM GMT+2","1","Mostly Player","Agree","Strongly agree","Agree","Strongly agree","Amazing friends that I play with, generally made my life 100 times better than it was before."
"2019/06/19 9:02:40 PM GMT+2","1","Player & DM","Neutral","Agree","Neutral","Strongly agree",""
"2019/06/19 9:04:01 PM GMT+2","4","Only Player","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Confidence in myself when speaking to an audience."
"2019/06/19 9:04:22 PM GMT+2","5","Mostly Player","Agree","Agree","Agree","Strongly agree",""
"2019/06/19 9:05:45 PM GMT+2","3","Player & DM","Neutral","Strongly agree","Strongly agree","Strongly agree","There are more like minded people than you think!"
"2019/06/19 9:05:56 PM GMT+2","2","Only Player","Neutral","Agree","Agree","Neutral","A new hobby and community "
"2019/06/19 9:07:33 PM GMT+2","2","Mostly DM","Neutral","Neutral","Neutral","Neutral","The joy that doing stupid voices and being silly with your friends"
"2019/06/19 9:10:36 PM GMT+2","14 ","Player & DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Table top gaming has been a great way to explore perspectives and topics that I can’t in real life. It has helped me develop empathy and has made it easier for me to connect with people outside of table top gaming. "
"2019/06/19 9:10:49 PM GMT+2","5","Only Player","Strongly disagree","Agree","Agree","Agree","The ability to quickly react to situations"
"2019/06/19 9:11:35 PM GMT+2","32","Player & DM","Agree","Agree","Agree","Agree","How to agree to disagree gracefully, how to work with very different people to reach a mutual goal, and when it is better to allow others to learn from mistakes that in ""real life"" would be very painful if not out right lethal."
"2019/06/19 9:12:24 PM GMT+2","20","Player & DM","Agree","Agree","Disagree","Strongly agree","I have learned to have confidence in my decisions and be less afraid to do something sub-optimally. "
"2019/06/19 9:14:22 PM GMT+2","3","Player & DM","Disagree","Agree","Neutral","Agree","If I can find the patience to put up with my players, I can deal with just about anyone."
"2019/06/19 9:14:40 PM GMT+2","12","Mostly DM","Disagree","Agree","Agree","Neutral",""
"2019/06/19 9:15:04 PM GMT+2","0","Only DM","Neutral","Agree","Disagree","Neutral","Its as a DM, life is a unpredictable mess and that plans not allways works as intended. It’s best during those situations to just improvise "
"2019/06/19 9:15:11 PM GMT+2","1","Only Player","Neutral","Agree","Strongly agree","Agree","Better critical thinking skills"
"2019/06/19 9:15:42 PM GMT+2","1","Player & DM","Disagree","Strongly agree","Neutral","Agree","Writing skills"
"2019/06/19 9:18:19 PM GMT+2","17","Player & DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Better group management and team solving skills "
"2019/06/19 9:20:03 PM GMT+2","16","Mostly DM","Agree","Agree","Agree","Agree","Tons of fun"
"2019/06/19 9:20:34 PM GMT+2","12","Mostly DM","Agree","Strongly agree","Strongly agree","Strongly agree","Improv, speaking in front of others more confidently, organizational skills, managing schedules/people, "
"2019/06/19 9:23:37 PM GMT+2","20 ","Mostly DM","Neutral","Agree","Agree","Strongly agree","Friends and a lifelong hobby"
"2019/06/19 9:24:09 PM GMT+2","1","Mostly Player","Agree","Agree","Neutral","Agree",""
"2019/06/19 9:26:19 PM GMT+2","24","Mostly DM","Strongly agree","Agree","Strongly agree","Strongly agree","The ability to socialize over things that I enjoy, while learning to disregard people who would judge me for the things I like.  How to look at the world from both sides of the spectrum, such as the views of the player, but also the views of the monsters/villains they oppose.  How to better make choices socially and statistically that will yield the results that I find most beneficial.   How to analyze and understand statistical data through the dice rolling.  How to write more neatly.  I learned a lot about socialization also that people want to put themselves, or in the vernacular... be in a party... with good aligned people more than they want to be with evil aligned.  That alignment in a political spectrum doesn't have to be Lawful/Stupid, and that there are degrees to belief from mild support to outright zealotry.  I could go on... I think you get the idea. "
"2019/06/19 9:26:52 PM GMT+2","1.5","Player & DM","Neutral","Strongly agree","Disagree","Agree",""
"2019/06/19 9:28:48 PM GMT+2","22","Mostly Player","Disagree","Strongly agree","Agree","Strongly agree","That if something isn't working as intended, to be open and communicative about it. "
"2019/06/19 9:29:14 PM GMT+2","1","Only Player","Agree","Strongly agree","Agree","Agree",""
"2019/06/19 9:29:40 PM GMT+2","31","Player & DM","Neutral","Agree","Agree","Strongly agree","Think on my feet and conversation skills"
"2019/06/19 9:31:32 PM GMT+2","1","Mostly DM","Neutral","Agree","Agree","Agree","How to feel more comfortable with myself. Also how to adapt to changing situations better."
"2019/06/19 9:31:32 PM GMT+2","1.5","Mostly DM","Disagree","Agree","Disagree","Agree","DMing gives me an outlet for the creativity I feel I can't put anywhere else; I feel a lot of pressure when I write or make art to be better than everyone I see online, and my work only feels ""good enough"" in the personal setting of my D&D group."
"2019/06/19 9:32:10 PM GMT+2","2","Player & DM","Agree","Strongly agree","Agree","Strongly agree",""
"2019/06/19 9:33:12 PM GMT+2","20","Player & DM","Neutral","Neutral","Disagree","Agree",""
"2019/06/19 9:34:25 PM GMT+2","2","Mostly DM","Disagree","Agree","Disagree","Disagree",""
"2019/06/19 9:34:51 PM GMT+2","2","Mostly Player","Neutral","Agree","Agree","Agree","In general having found something else to be passionate about in life is always great especially when I can share it with my friends and gain more friends!"
"2019/06/19 9:35:19 PM GMT+2","3","Only Player","Agree","Agree","Agree","Strongly agree","creativity, fun with friends outside of gaming on pc/online"
"2019/06/19 9:35:27 PM GMT+2","3","Only Player","Agree","Strongly agree","Agree","Agree","How to compromise with others well and how to synergize with those around me very well."
"2019/06/19 9:36:32 PM GMT+2","2","Player & DM","Agree","Neutral","Neutral","Agree",""
"2019/06/19 9:40:02 PM GMT+2","5","Player & DM","Strongly disagree","Neutral","Neutral","Agree",""
"2019/06/19 9:41:02 PM GMT+2","4","Mostly DM","Neutral","Strongly agree","Strongly agree","Agree","Compromise"
"2019/06/19 9:41:06 PM GMT+2","2","Only Player","Disagree","Disagree","Disagree","Neutral",""
"2019/06/19 9:41:24 PM GMT+2","9","Mostly DM","Agree","Agree","Agree","Agree",""
"2019/06/19 9:43:57 PM GMT+2","0.5","Only Player","Neutral","Neutral","Neutral","Neutral","A fun outlet."
"2019/06/19 9:45:35 PM GMT+2","5","Mostly Player","Agree","Agree","Neutral","Agree",""
"2019/06/19 9:45:54 PM GMT+2","3","Player & DM","Disagree","Disagree","Neutral","Agree",""
"2019/06/19 9:48:13 PM GMT+2","20","Player & DM","Disagree","Strongly agree","Neutral","Agree",""
"2019/06/19 9:48:43 PM GMT+2","23","Mostly DM","Neutral","Agree","Neutral","Neutral","Mostly creative writing and improvisational skills. Some organizational skills as well."
"2019/06/19 9:48:49 PM GMT+2","5","Player & DM","Disagree","Disagree","Disagree","Neutral","I'm much faster at simple math now, namely small integer addition."
"2019/06/19 9:49:11 PM GMT+2","4 ","Only Player","Strongly disagree","Disagree","Disagree","Disagree","while i do not feel that i have LEARNED many skills, do feel that many of the social and improv skills that i have have been improved thorugh playing tabletop RPGs"
"2019/06/19 9:49:20 PM GMT+2","5","Only DM","Agree","Strongly agree","Strongly agree","Strongly agree","Emphaty"
"2019/06/19 9:49:24 PM GMT+2","4","Mostly Player","Neutral","Agree","Agree","Neutral",""
"2019/06/19 9:51:26 PM GMT+2","3","Player & DM","Neutral","Neutral","Neutral","Agree","I think I was pretty well-socialized prior to playing TTRPGs, instead I'd say being a DM has taught me more about organization, quick thinking and storytelling"
"2019/06/19 9:51:27 PM GMT+2","3","Mostly DM","Agree","Agree","Neutral","Agree","The life my wife and I lead is somewhat isolationist because of scheduling, but D&D allows me to schedule built-in friend-group time for us, and it's awesome."
"2019/06/19 9:51:48 PM GMT+2","1 ","Mostly DM","Disagree","Strongly disagree","Disagree","Agree","It's a hell of a lot of fun and a great way to avoid thinking about the crushing amount of schoolwork I gotta still get done."
"2019/06/19 9:53:20 PM GMT+2","7","Mostly DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","The biggest thing has been improved public speaking skills. As a soon-to-be schoolteacher I will certainly use the preparation and speaking abilities cultivated through TTRPGs to help me in my career."
"2019/06/19 9:54:34 PM GMT+2","5","Mostly DM","Agree","Strongly agree","Agree","Strongly agree","Social skills are a big one. Problem solving, scheduling. Plus, a whole freaking lot of friends I wouldn't have made otherwise. These people live states and countries away from me (USA). Additionally, I write homebrew stuff for D&D 5e, so it is a great creative outlet as well."
"2019/06/19 9:56:39 PM GMT+2","1","Only DM","Neutral","Agree","Agree","Strongly agree","To not be ashamed of doing things i love"
"2019/06/19 9:58:40 PM GMT+2","2","Only Player","Agree","Agree","Disagree","Neutral",""
"2019/06/19 9:59:18 PM GMT+2","2","Mostly Player","Agree","Strongly agree","Agree","Strongly agree","The best thing I have learned from dnd is empathy and teamwork"
"2019/06/19 9:59:46 PM GMT+2","1","Player & DM","Neutral","Agree","Agree","Agree","Ive learned to step out of my comfort zone more, and I am able to share all of my stories and characters with my friends"
"2019/06/19 9:59:55 PM GMT+2","33","Player & DM","Disagree","Strongly agree","Neutral","Strongly agree","multitasking. strategic thinking. short and long term memory.  ability to pull data from various sources and arrive at a single outcome. example, What is my To Hit score?:   strength + skill + advantages + buffs + racial advantages + items + situational advantages   lots of different sources and types to remember and to check, and then munge into a final discrete number, need to do it quickly and accurately.   that particular type of exercise helps tremendously for tech type jobs.  "
"2019/06/19 10:00:21 PM GMT+2","1","Mostly Player","Strongly disagree","Strongly disagree","Neutral","Strongly agree","Negotiation skills"
"2019/06/19 10:01:47 PM GMT+2","3","Player & DM","Disagree","Neutral","Agree","Strongly agree",""
"2019/06/19 10:01:47 PM GMT+2","17","Player & DM","Neutral","Strongly agree","Agree","Agree",""
"2019/06/19 10:02:18 PM GMT+2","25","Mostly DM","Agree","Strongly agree","Agree","Strongly agree",""
"2019/06/19 10:02:29 PM GMT+2","5","Player & DM","Agree","Strongly agree","Strongly agree","Agree",""
"2019/06/19 10:02:45 PM GMT+2","7","Player & DM","Agree","Strongly agree","Strongly agree","Agree","Problem solving skills, working together as a team, (personally) D&D has helped me with a lot of emotional  disconnection  And depression; when I started playing it helped me realize that there is a fun side to life. "
"2019/06/19 10:02:46 PM GMT+2","15","Player & DM","Agree","Agree","Agree","Strongly agree","It gives me an emotional outlet that is outside ""talking it out"". Also, sometimes it's nice to have a different inner voice than your regular one. I've definitely had a conversation with my favorite characters telling me to be brave."
"2019/06/19 10:03:49 PM GMT+2","2","Only Player","Strongly disagree","Strongly disagree","Neutral","Disagree","Dnd is fun"
"2019/06/19 10:04:39 PM GMT+2","6","Player & DM","Neutral","Strongly agree","Agree","Strongly agree","I can get over performance anxiety, I've learned not to be the center of attention,  I've bolstered my creativity, made new friends, and have a great many stories to tell."
"2019/06/19 10:04:48 PM GMT+2","8","Player & DM","Agree","Strongly agree","Strongly agree","Strongly agree","How to manage groups. Expectations. How to tell good stories. How to negotiate in relationships. "
"2019/06/19 10:06:35 PM GMT+2","20","Mostly Player","Neutral","Agree","Agree","Agree","It's helped me process how to express myself in more diplomatic ways, to exercise the story writer parts of my brain that help me understand ""character motivations"" of the real people in my life. "
"2019/06/19 10:07:07 PM GMT+2","1","Player & DM","Agree","Agree","Agree","Agree","Making stories happen is one of my greatest needs"
"2019/06/19 10:07:19 PM GMT+2","35","Player & DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I credit rpgs for a great deal of my social ability and success in my career. The ability to work in teams, to solve problems and most importantly to learn and model empathy and how to care for my fellows has been essential for my personal life and professional success. I am a better person, and hopefully a better employee, boss, friend and husband because of gaming."
"2019/06/19 10:07:42 PM GMT+2","28","Mostly DM","Neutral","Agree","Agree","Agree","Confidence. I have learned to speak to people confidently. I have learned how to command attention from a room full of people. I have learned to speak clearly and thoughtfully. I have learned to empathize with others, how others feel and think. I have learned to put the needs of others before myself. Overall, I have made many friends during my gaming sessions, and it has helped me develop as a fully functional human being who can interact with others on a day to day basis."
"2019/06/19 10:08:37 PM GMT+2","3","Player & DM","Strongly disagree","Strongly disagree","Agree","Agree","Most people are looking to connect with one another, and love to reveal something of themselves in every character they play. "
"2019/06/19 10:08:55 PM GMT+2","18","Player & DM","Neutral","Agree","Neutral","Strongly agree","Group problem solving skills, statistical anslysis"
"2019/06/19 10:09:19 PM GMT+2","1","Player & DM","Neutral","Agree","Disagree","Agree","A creative outlet that I never had before. "
"2019/06/19 10:10:16 PM GMT+2","5","Mostly Player","Neutral","Neutral","Neutral","Agree","A new hobby and some new friends."
"2019/06/19 10:12:13 PM GMT+2","5","Mostly DM","Agree","Agree","Agree","Agree","Gainesville confidence"
"2019/06/19 10:12:39 PM GMT+2","1","Player & DM","Neutral","Neutral","Neutral","Neutral",""
"2019/06/19 10:13:11 PM GMT+2","3","Mostly DM","Neutral","Agree","Agree","Strongly agree","a place to relax and not worty about the rest of the world. also it’s provided a place for me to come a little out of my shell and not worry about making an ass of myself"
"2019/06/19 10:13:24 PM GMT+2","1","Player & DM","Agree","Strongly agree","Agree","Strongly agree","Playing TTRPG's has given me and my friends a super fun and _creative_ way to hang out. The imagination I used to have as a kid has started to come back which is incredible! In general I have a more positive view of going out and doing things because everything in life is kind of an adventure. Seeing a character struggle but in the end succeed is also motivational."
"2019/06/19 10:14:46 PM GMT+2","1","Player & DM","Neutral","Agree","Agree","Agree","Improvising, 'presenting', an understanding for rulesets or systems"
"2019/06/19 10:15:13 PM GMT+2","6","Only Player","Neutral","Agree","Agree","Agree","Seeing things from other perspectives. Problem solving."
"2019/06/19 10:15:21 PM GMT+2","2","Only DM","Neutral","Neutral","Neutral","Agree","Conflict resolution"
"2019/06/19 10:16:00 PM GMT+2","38","Mostly DM","Neutral","Strongly agree","Agree","Agree","Vocabulary, math, theater skills, improved critical thinking"
"2019/06/19 10:16:07 PM GMT+2","2","Mostly Player","Neutral","Agree","Neutral","Strongly agree","I learned how to work with others better, and improved my character writing skills."
"2019/06/19 10:16:58 PM GMT+2","6","Player & DM","Neutral","Agree","Agree","Strongly agree",""
"2019/06/19 10:17:10 PM GMT+2","8","Only DM","Agree","Disagree","Neutral","Agree",""
"2019/06/19 10:18:39 PM GMT+2","37","Mostly DM","Neutral","Agree","Neutral","Strongly agree","I am THE BEST at running meetings. Everyone's always surprised, but it's years of DMing that taught me how to make people listen and take turns."
"2019/06/19 10:19:26 PM GMT+2","4","Mostly DM","Neutral","Agree","Neutral","Neutral",""
"2019/06/19 10:19:54 PM GMT+2","5","Player & DM","Disagree","Neutral","Neutral","Neutral",""
"2019/06/19 10:20:06 PM GMT+2","1","Mostly Player","Agree","Strongly agree","Agree","Agree","That the universe is infinite and I am only limited by the rules I create for myself."
"2019/06/19 10:20:37 PM GMT+2","3","Mostly Player","Neutral","Strongly agree","Agree","Agree",""
"2019/06/19 10:23:08 PM GMT+2","2","Mostly DM","Neutral","Strongly agree","Strongly agree","Strongly agree","That anyone can use their imagination and have a good time, no matter who they are or what they usually like"
"2019/06/19 10:25:27 PM GMT+2","15","Player & DM","Neutral","Agree","Agree","Agree","Strategy, Teamwork, Creative Writing, Organization, and a variety of artistic abilities."
